"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled"
"!vip","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗ \n✯                  Ϟ 🄻🅂 🄼🄴🄽🅄 ⸸                   ✯\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝\n╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n   OLÁ, ESSAS SÃO AS MINHAS OPÇÕES:\n\nGRUPO OFICIAL https://chat.whatsapp.com/B8OfysEVo6WAYIAAFGh761\n\n๖ۣۜ𝐎𝐩𝐜𝐨𝐞𝐬 𝐝𝐨 𝐠𝐫𝐮𝐩𝐨 𝐨𝐟𝐢𝐜𝐢𝐚𝐥 𝐝𝐞 𝐦𝐨𝐝𝐝𝐞𝐫𝐬\n  -!regras\n  -!tag\n\n𝐠𝐫𝐮𝐩𝐨 𝐨𝐟𝐢𝐜𝐢𝐚𝐥 𝐝𝐞 𝐦𝐨𝐝𝐝𝐞𝐫𝐬👇\nhttps://chat.whatsapp.com/B8OfysEVo6WAYIAAFGh761\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐌𝐞𝐧𝐮 𝐯𝐢𝐩\n  -!vip\n  -!menu\n  -!help\n   .menu\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐋𝐢𝐦𝐩𝐚𝐫 𝐜𝐡𝐚𝐭/𝐝𝐞𝐬𝐭𝐫𝐚𝐯𝐚\n  -!limpar chat\n  -!clean chat\n  -!destrava\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐄𝐱𝐭𝐫𝐚\n  -!trava (trava fake)\n  -!matar pedro\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐅𝐢𝐠𝐮𝐫𝐢𝐧𝐡𝐚𝐬\n  -!sticker\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐁𝐚𝐬𝐞𝐬\n  -!bases\n  -!bases aprimoradas\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐃𝐚𝐭𝐚\n  -!dia\n  -!hora\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐁𝐨𝐭 \n  -!bateria\n  -!bot\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐓𝐞𝐛𝐞𝐥𝐚 𝐝𝐞 𝐬𝐢𝐦𝐛𝐨𝐥𝐨𝐬\n   -!tabela\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐓𝐫𝐨𝐜𝐚𝐫 𝐜𝐨𝐫 𝐝𝐨 𝐰𝐡𝐚𝐭𝐬𝐚𝐩𝐩\n   -!cor\n   -!cores\n   -!color\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐂𝐨𝐦𝐨 𝐜𝐫𝐢𝐚𝐫 𝐰𝐡𝐚𝐭𝐬𝐚𝐩𝐩 𝐝𝐨 𝐳𝐞𝐫𝐨\n    -!whatsapp\n    -!whatsapp do zero\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐌𝐞𝐥𝐡𝐨𝐫𝐞𝐬 𝐖𝐡𝐚𝐭𝐬𝐀𝐩𝐩 𝐢𝐦𝐮𝐧𝐞\n    -!whatsapp imune\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐌𝐞𝐭𝐨𝐝𝐨𝐬 𝐝𝐞 𝐢𝐦𝐮𝐧𝐢𝐳𝐚𝐫\n    -!imunizar\n    -!imune\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐂𝐨𝐦𝐨 𝐢𝐧𝐬𝐭𝐚𝐥𝐚𝐫 𝐖𝐡𝐚𝐭𝐬𝐀𝐩𝐩 𝐢𝐦𝐮𝐧𝐞\n\n➣ https://youtu.be/VXc0t0Jjf_c\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐂𝐨𝐦𝐨 𝐢𝐧𝐬𝐭𝐚𝐥𝐚𝐫 𝐝𝐚𝐭𝐚𝐛𝐚𝐬𝐞\n\n➣ https://youtu.be/3zkmszHNeyc\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐏𝐚𝐫𝐜𝐞𝐢𝐫𝐨𝐬\n\nSOUZA OF IMUNES\n\n➣https://youtube.com/channel/UCEty7c4NdhwjqA08JGa3URg\n\nLUCIFER OFC\n\n➣https://youtube.com/channel/UCguJswkrKKjfeCoObNrDHMA\n\n➣https://youtube.com/channel/UCc5HBpFXzle8-x5OpT5hHGg\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!help","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗ \n✯                  Ϟ 🄻🅂 🄼🄴🄽🅄 ⸸                   ✯\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝\n╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n   OLÁ, ESSAS SÃO AS MINHAS OPÇÕES:\n\nGRUPO OFICIAL https://chat.whatsapp.com/B8OfysEVo6WAYIAAFGh761\n\n๖ۣۜ𝐎𝐩𝐜𝐨𝐞𝐬 𝐝𝐨 𝐠𝐫𝐮𝐩𝐨 𝐨𝐟𝐢𝐜𝐢𝐚𝐥 𝐝𝐞 𝐦𝐨𝐝𝐝𝐞𝐫𝐬\n  -!regras\n  -!tag\n\n𝐠𝐫𝐮𝐩𝐨 𝐨𝐟𝐢𝐜𝐢𝐚𝐥 𝐝𝐞 𝐦𝐨𝐝𝐝𝐞𝐫𝐬👇\nhttps://chat.whatsapp.com/B8OfysEVo6WAYIAAFGh761\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐌𝐞𝐧𝐮 𝐯𝐢𝐩\n  -!vip\n  -!menu\n  -!help\n   .menu\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐋𝐢𝐦𝐩𝐚𝐫 𝐜𝐡𝐚𝐭/𝐝𝐞𝐬𝐭𝐫𝐚𝐯𝐚\n  -!limpar chat\n  -!clean chat\n  -!destrava\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐄𝐱𝐭𝐫𝐚\n  -!trava (trava fake)\n  -!matar pedro\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐅𝐢𝐠𝐮𝐫𝐢𝐧𝐡𝐚𝐬\n  -!sticker\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐁𝐚𝐬𝐞𝐬\n  -!bases\n  -!bases aprimoradas\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐃𝐚𝐭𝐚\n  -!dia\n  -!hora\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐁𝐨𝐭 \n  -!bateria\n  -!bot\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐓𝐞𝐛𝐞𝐥𝐚 𝐝𝐞 𝐬𝐢𝐦𝐛𝐨𝐥𝐨𝐬\n   -!tabela\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐓𝐫𝐨𝐜𝐚𝐫 𝐜𝐨𝐫 𝐝𝐨 𝐰𝐡𝐚𝐭𝐬𝐚𝐩𝐩\n   -!cor\n   -!cores\n   -!color\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐂𝐨𝐦𝐨 𝐜𝐫𝐢𝐚𝐫 𝐰𝐡𝐚𝐭𝐬𝐚𝐩𝐩 𝐝𝐨 𝐳𝐞𝐫𝐨\n    -!whatsapp\n    -!whatsapp do zero\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐌𝐞𝐥𝐡𝐨𝐫𝐞𝐬 𝐖𝐡𝐚𝐭𝐬𝐀𝐩𝐩 𝐢𝐦𝐮𝐧𝐞\n    -!whatsapp imune\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐌𝐞𝐭𝐨𝐝𝐨𝐬 𝐝𝐞 𝐢𝐦𝐮𝐧𝐢𝐳𝐚𝐫\n    -!imunizar\n    -!imune\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐂𝐨𝐦𝐨 𝐢𝐧𝐬𝐭𝐚𝐥𝐚𝐫 𝐖𝐡𝐚𝐭𝐬𝐀𝐩𝐩 𝐢𝐦𝐮𝐧𝐞\n\n➣ https://youtu.be/VXc0t0Jjf_c\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐂𝐨𝐦𝐨 𝐢𝐧𝐬𝐭𝐚𝐥𝐚𝐫 𝐝𝐚𝐭𝐚𝐛𝐚𝐬𝐞\n\n➣ https://youtu.be/3zkmszHNeyc\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐏𝐚𝐫𝐜𝐞𝐢𝐫𝐨𝐬\n\nSOUZA OF IMUNES\n\n➣https://youtube.com/channel/UCEty7c4NdhwjqA08JGa3URg\n\nLUCIFER OFC\n\n➣https://youtube.com/channel/UCguJswkrKKjfeCoObNrDHMA\n\n➣https://youtube.com/channel/UCc5HBpFXzle8-x5OpT5hHGg\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!menu","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗ \n✯                  Ϟ 🄻🅂 🄼🄴🄽🅄 ⸸                   ✯\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝\n╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n   OLÁ, ESSAS SÃO AS MINHAS OPÇÕES:\n\nGRUPO OFICIAL https://chat.whatsapp.com/B8OfysEVo6WAYIAAFGh761\n\n๖ۣۜ𝐎𝐩𝐜𝐨𝐞𝐬 𝐝𝐨 𝐠𝐫𝐮𝐩𝐨 𝐨𝐟𝐢𝐜𝐢𝐚𝐥 𝐝𝐞 𝐦𝐨𝐝𝐝𝐞𝐫𝐬\n  -!regras\n  -!tag\n\n𝐠𝐫𝐮𝐩𝐨 𝐨𝐟𝐢𝐜𝐢𝐚𝐥 𝐝𝐞 𝐦𝐨𝐝𝐝𝐞𝐫𝐬👇\nhttps://chat.whatsapp.com/B8OfysEVo6WAYIAAFGh761\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐌𝐞𝐧𝐮 𝐯𝐢𝐩\n  -!vip\n  -!menu\n  -!help\n   .menu\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐋𝐢𝐦𝐩𝐚𝐫 𝐜𝐡𝐚𝐭/𝐝𝐞𝐬𝐭𝐫𝐚𝐯𝐚\n  -!limpar chat\n  -!clean chat\n  -!destrava\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐄𝐱𝐭𝐫𝐚\n  -!trava (trava fake)\n  -!matar pedro\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐅𝐢𝐠𝐮𝐫𝐢𝐧𝐡𝐚𝐬\n  -!sticker\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐁𝐚𝐬𝐞𝐬\n  -!bases\n  -!bases aprimoradas\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐃𝐚𝐭𝐚\n  -!dia\n  -!hora\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐁𝐨𝐭 \n  -!bateria\n  -!bot\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐓𝐞𝐛𝐞𝐥𝐚 𝐝𝐞 𝐬𝐢𝐦𝐛𝐨𝐥𝐨𝐬\n   -!tabela\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐓𝐫𝐨𝐜𝐚𝐫 𝐜𝐨𝐫 𝐝𝐨 𝐰𝐡𝐚𝐭𝐬𝐚𝐩𝐩\n   -!cor\n   -!cores\n   -!color\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐂𝐨𝐦𝐨 𝐜𝐫𝐢𝐚𝐫 𝐰𝐡𝐚𝐭𝐬𝐚𝐩𝐩 𝐝𝐨 𝐳𝐞𝐫𝐨\n    -!whatsapp\n    -!whatsapp do zero\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐌𝐞𝐥𝐡𝐨𝐫𝐞𝐬 𝐖𝐡𝐚𝐭𝐬𝐀𝐩𝐩 𝐢𝐦𝐮𝐧𝐞\n    -!whatsapp imune\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐌𝐞𝐭𝐨𝐝𝐨𝐬 𝐝𝐞 𝐢𝐦𝐮𝐧𝐢𝐳𝐚𝐫\n    -!imunizar\n    -!imune\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐂𝐨𝐦𝐨 𝐢𝐧𝐬𝐭𝐚𝐥𝐚𝐫 𝐖𝐡𝐚𝐭𝐬𝐀𝐩𝐩 𝐢𝐦𝐮𝐧𝐞\n\n➣ https://youtu.be/VXc0t0Jjf_c\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐂𝐨𝐦𝐨 𝐢𝐧𝐬𝐭𝐚𝐥𝐚𝐫 𝐝𝐚𝐭𝐚𝐛𝐚𝐬𝐞\n\n➣ https://youtu.be/3zkmszHNeyc\n\n━━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐏𝐚𝐫𝐜𝐞𝐢𝐫𝐨𝐬\n\nSOUZA OF IMUNES\n\n➣https://youtube.com/channel/UCEty7c4NdhwjqA08JGa3URg\n\nLUCIFER OFC\n\n➣https://youtube.com/channel/UCguJswkrKKjfeCoObNrDHMA\n\n➣https://youtube.com/channel/UCc5HBpFXzle8-x5OpT5hHGg\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"bot desgraçado","none","%name% VAI SE FODER SEU FILHO DA PUTA 😠","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"!hora","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗ \n              AGORA SÃO %hour_of_day%:%minute% HORAS\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!bateria","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗        ﾠ    O BOT ESTA COM %battery%% DE BATERIA   ╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!dia","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗ ﾠHOJE É (%day_of_week%) DO DIA %day_of_month_short%/%month_short%/%year%                                     ╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!bot","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗        ﾠ    O BOT ESTA COM %battery%% DE BATERIA   ╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!bases","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n                              ๖ۣۜ𝐁𝐚𝐬𝐞𝐬\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐁𝐚𝐬𝐞𝐬 𝐝𝐨 𝐬𝐚𝐦𝐦𝐨𝐝𝐬\n-!sammods\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐁𝐚𝐬𝐞𝐬 𝐬𝐞𝐜𝐮𝐧𝐝𝐚𝐫𝐢𝐚𝐬\n-!bases secundarias\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!bases aprimoradas","none","╔═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╗\n                    ๖ۣۜ𝐁𝐚𝐬𝐞𝐬 𝐚𝐩𝐫𝐢𝐦𝐨𝐫𝐚𝐝𝐚𝐬\n━━━━━━━━━━━━━━━━━━━━━━━━━━ ๖ۣۜ𝐁𝐚𝐬𝐞 𝐝𝐨 𝐬𝐚𝐦𝐦𝐨𝐝𝐬 𝐚𝐩𝐫𝐢𝐦𝐨𝐫𝐚𝐝𝐚 (anti-ban)\n\nhttps://enrt.eu/XIv1Nh \n\n━━━━━━━━━━━━━━━━━━━━━━━━━━\n๖ۣۜ𝐁𝐚𝐬𝐞 𝐬𝐞𝐜𝐮𝐧𝐝𝐚𝐫𝐢𝐚 𝐚𝐩𝐫𝐢𝐦𝐨𝐫𝐚𝐝𝐚 (anti-ban)\n\nhttps://enrt.eu/y5C8joS6\n\n╚═══════°࿊•°:🔥 - 🔥:°•࿊°═══════╝","single","","","b","","","","","0","","","","","","","","seconds","0","0"
